Activation,Learning Rate,Epochs,Layers,Train Score,Test Score
logistic,0.01,300,2,0.7166666666666667,0.7666666666666667
logistic,0.01,300,3,0.31666666666666665,0.4
logistic,0.01,500,2,0.8916666666666667,0.9666666666666667
logistic,0.01,500,3,0.85,0.9666666666666667
logistic,0.1,300,2,0.31666666666666665,0.4
logistic,0.1,300,3,0.31666666666666665,0.4
logistic,0.1,500,2,0.4166666666666667,0.4
logistic,0.1,500,3,0.3416666666666667,0.3
tanh,0.01,300,2,0.9666666666666667,1.0
tanh,0.01,300,3,0.9666666666666667,0.9333333333333333
tanh,0.01,500,2,0.975,1.0
tanh,0.01,500,3,0.9583333333333334,0.9666666666666667
tanh,0.1,300,2,0.775,0.9333333333333333
tanh,0.1,300,3,0.6666666666666666,0.7666666666666667
tanh,0.1,500,2,0.825,0.9
tanh,0.1,500,3,0.6583333333333333,0.7
relu,0.01,300,2,0.9166666666666666,0.9666666666666667
relu,0.01,300,3,0.7916666666666666,0.9
relu,0.01,500,2,0.925,0.9666666666666667
relu,0.01,500,3,0.9666666666666667,1.0
relu,0.1,300,2,0.95,1.0
relu,0.1,300,3,0.9833333333333333,1.0
relu,0.1,500,2,0.6583333333333333,0.6666666666666666
relu,0.1,500,3,0.975,0.9333333333333333
